C00003633 | Acokanthera ouabaio
C00042438 | Cynanchum ascyrifolium
C00042439 | Cynanchum ascyrifolium
C00043760 | Cynanchum paniculatum
C00043761 | Cynanchum paniculatum
C00043801 | Cynanchum paniculatum
C00043802 | Cynanchum paniculatum
C00045674 | Cynanchum atratum
C00045675 | Cynanchum atratum
C00048929 | Cynanchum bungei
C00050048 | Cynanchum taiwanianum
C00050049 | Cynanchum taiwanianum
C00050975 | Cynanchum paniculatum
C00025193 | Diplorhynchus condylocarpon
C00025822 | Diplorhynchus condylocarpon
C00025960 | Diplorhynchus condylocarpon
C00026041 | Diplorhynchus condylocarpon
C00001754 | Dyera costulata
C00002473 | Echites hirsuta
C00002098 | Funtumia latifolia Stapf.
C00002249 | Funtumia elastica
C00002249 | Funtumia latifolia
C00002252 | Funtumia elastica
C00001731 | Geissospermum sericeum
C00001731 | Geissospermum vellosii
C00001732 | Geissospermum sericeum
C00001732 | Geissospermum vellosii
C00024452 | Geissospermum argenteum
C00024515 | Geissospermum argenteum
C00024583 | Geissospermum argenteum
C00025193 | Geissospermum vellosii
C00026849 | Geissospermum sericeum
C00026849 | Geissospermum vellosii
C00045969 | Geissospermum sericeum
C00024535 | Gonioma malagasy
C00024594 | Gonioma kamassi
C00001174 | Gymnema sylvestre
C00003523 | Gymnema sylvestre
C00037231 | Gymnema sylvestre
C00045632 | Gymnema sylvestre
C00046094 | Gymnema sylvestre
C00001681 | Haplophyton crooksii
C00001713 | Haplophyton cimicidum
C00001789 | Haplophyton crooksii L.Benson
C00024525 | Haplophyton cimicidum A.DC.
C00024525 | Haplophyton crooksii
C00024526 | Haplophyton cimicidum A.DC.
C00024526 | Haplophyton crooksii
C00024527 | Haplophyton crooksii
C00024536 | Haplophyton cimicidum A.DC.
C00025051 | Haplophyton cimicidum
C00025062 | Haplophyton cimicidum
C00025216 | Haplophyton crooksii
C00027655 | Haplophyton crooksii
C00027695 | Haplophyton crooksii
C00027704 | Haplophyton crooksii
C00027935 | Haplophyton crooksii L.Benson
C00028103 | Haplophyton crooksii
C00028334 | Haplophyton cimicidum A.DC.
C00028334 | Haplophyton crooksii
C00028446 | Haplophyton crooksii
C00000606 | Himatanthus fallax
C00003095 | Himatanthus sucuuba
C00003750 | Himatanthus sucuuba
C00007190 | Himatanthus fallax
C00032700 | Himatanthus sucuuba
C00033132 | Himatanthus sucuuba
C00033133 | Himatanthus sucuuba
C00000892 | Holarrhena floribunda
C00002243 | Holarrhena africana
C00002243 | Holarrhena antidysenterica
C00002243 | Holarrhena congolensis
C00002243 | Holarrhena febrifuga
C00002243 | Holarrhena floribunda
C00002243 | Holarrhena pubescens
C00002243 | Holarrhena wulfsbergii
C00002249 | Holarrhena congolensis
C00002249 | Holarrhena febrifuga
C00002254 | Holarrhena antidysenterica
C00002254 | Holarrhena pubescens
C00002255 | Holarrhena antidysenterica
C00003196 | Holarrhena floribunda
C00025496 | Holarrhena antidysenterica
C00025497 | Holarrhena curtisii
C00025498 | Holarrhena floribunda
C00025499 | Holarrhena floribunda
C00025500 | Holarrhena antidysenterica
C00025501 | Holarrhena antidysenterica
C00025502 | Holarrhena antidysenterica
C00025503 | Holarrhena antidysenterica
C00025504 | Holarrhena antidysenterica
C00025505 | Holarrhena antidysenterica
C00025506 | Holarrhena floribunda
C00025507 | Holarrhena floribunda
C00025508 | Holarrhena floribunda
C00025509 | Holarrhena antidysenterica
C00025510 | Holarrhena antidysenterica
C00025511 | Holarrhena floribunda
C00025512 | Holarrhena floribunda
C00025513 | Holarrhena antidysenterica
C00025515 | Holarrhena congolensis
C00025520 | Holarrhena mitis
C00025524 | Holarrhena mitis
C00025525 | Holarrhena crassifolia
C00028348 | Holarrhena pubescens Buch.Ham
C00028718 | Holarrhena antidysenterica
C00028718 | Holarrhena febrifuga
C00028718 | Holarrhena pubescens Buch.Ham
C00030488 | Holarrhena antidysenterica L.WALL.
C00033251 | Holarrhena febrifuga Klotsch.
C00034649 | Holarrhena floribunda
C00046801 | Holarrhena floribunda
C00046802 | Holarrhena floribunda
C00046880 | Holarrhena floribunda
C00046956 | Holarrhena floribunda
C00049922 | Holarrhena curtisii
C00049923 | Holarrhena curtisii
C00050120 | Holarrhena curtisii
C00050121 | Holarrhena curtisii
C00050121 | Holarrhena floribunda
C00050174 | Holarrhena curtisii
C00051172 | Holarrhena antidysenterica
C00051173 | Holarrhena antidysenterica
C00051174 | Holarrhena antidysenterica
C00035629 | Hoodia gordonii
C00035630 | Hoodia gordonii
C00035631 | Hoodia gordonii
C00035632 | Hoodia gordonii
C00035633 | Hoodia gordonii
C00035634 | Hoodia gordonii
C00035635 | Hoodia gordonii
C00035636 | Hoodia gordonii
C00035637 | Hoodia gordonii
C00035644 | Hoodia gordonii
C00035645 | Hoodia gordonii
C00035646 | Hoodia gordonii
C00035647 | Hoodia gordonii
C00035648 | Hoodia gordonii
C00035649 | Hoodia gordonii
C00035650 | Hoodia gordonii
C00035651 | Hoodia gordonii
C00035652 | Hoodia gordonii
C00035653 | Hoodia gordonii
C00048406 | Hoodia gordonii
C00048407 | Hoodia gordonii
C00048408 | Hoodia gordonii
C00048409 | Hoodia gordonii
C00048410 | Hoodia gordonii
C00048411 | Hoodia gordonii
C00048412 | Hoodia gordonii
C00048413 | Hoodia gordonii
C00048414 | Hoodia gordonii
C00048415 | Hoodia gordonii
C00048416 | Hoodia gordonii
C00048417 | Hoodia gordonii
C00048418 | Hoodia gordonii
C00048419 | Hoodia gordonii
C00048420 | Hoodia gordonii
C00048421 | Hoodia gordonii
C00001713 | Hunteria congolana
C00001713 | Hunteria eburnea
C00001713 | Hunteria elliotii
C00001713 | Hunteria zeylanica
C00001714 | Hunteria eburnea Pichon.
C00001761 | Hunteria elliottii
C00001786 | Hunteria zeylanica
C00024454 | Hunteria elliottii
C00024454 | Hunteria zeylanica
C00024463 | Hunteria congolana
C00024463 | Hunteria elliottii
C00024593 | Hunteria elliottii
C00024608 | Hunteria zeylanica
C00025050 | Hunteria zeylanica
C00025051 | Hunteria zeylanica
C00025055 | Hunteria congolana
C00025055 | Hunteria umbellata
C00025058 | Hunteria elliotii
C00025061 | Hunteria congolana
C00025061 | Hunteria eburnea
C00025061 | Hunteria elliotii
C00025061 | Hunteria zeylanica
C00025062 | Hunteria congolana
C00025062 | Hunteria eburnea
C00025062 | Hunteria elliotii
C00025062 | Hunteria zeylanica
C00026010 | Hunteria zeylanica
C00026013 | Hunteria eburnea Pichon.
C00028446 | Hunteria congolense
C00047662 | Hunteria zeylanica
C00047664 | Hunteria zeylanica
C00047761 | Hunteria zeylanica
C00025494 | Kibatalia gitingensis
C00025516 | Kibatalia gitingensis
C00001713 | Kopsia officinalis
C00001713 | Kopsia pauciflora
C00001736 | Kopsia griffithii
C00001761 | Kopsia officinalis L.
C00008974 | Kopsia dasyrachis
C00024448 | Kopsia officinalis
C00024448 | Kopsia pauciflora
C00024449 | Kopsia officinalis
C00024451 | Kopsia officinalis
C00024454 | Kopsia dasyrachis
C00024454 | Kopsia fruticosa
C00024454 | Kopsia griffithii
C00024454 | Kopsia hainanensis
C00024454 | Kopsia larutensis
C00024454 | Kopsia longiflora
C00024454 | Kopsia officinalis
C00024454 | Kopsia pauciflora
C00024454 | Kopsia punciflora
C00024455 | Kopsia hainanensis
C00024456 | Kopsia lapidilecta
C00024460 | Kopsia dasyrachis
C00024460 | Kopsia deverrei
C00024460 | Kopsia fruticosa
C00024460 | Kopsia griffithii
C00024460 | Kopsia officinalis
C00024460 | Kopsia pauciflora
C00024462 | Kopsia lapidilecta
C00024468 | Kopsia deverrei
C00024469 | Kopsia lapidilecta
C00024473 | Kopsia sp.
C00024474 | Kopsia jasminiflora
C00024476 | Kopsia deverrei
C00024477 | Kopsia singapurensis
C00024477 | Kopsia teoi
C00024484 | Kopsia deverrei
C00024487 | Kopsia deverrei
C00024506 | Kopsia jasminiflora
C00024532 | Kopsia lapidilecta
C00024539 | Kopsia jasminiflora
C00024542 | Kopsia officinalis
C00024542 | Kopsia pauciflora
C00024543 | Kopsia fruticosa
C00024543 | Kopsia hainanensis
C00024543 | Kopsia officinalis
C00024544 | Kopsia teoi
C00024545 | Kopsia dasyrachis
C00024546 | Kopsia dasyrachis
C00024547 | Kopsia dasyrachis
C00024548 | Kopsia teoi
C00024549 | Kopsia teoi
C00024550 | Kopsia teoi
C00024551 | Kopsia jasminiflora
C00024552 | Kopsia jasminiflora
C00024552 | Kopsia jasminiflora Pitard
C00024553 | Kopsia teoi
C00024554 | Kopsia singapurensis
C00024554 | Kopsia teoi
C00024556 | Kopsia teoi
C00024557 | Kopsia teoi
C00024558 | Kopsia hainanensis
C00024558 | Kopsia officinalis
C00024559 | Kopsia teoi
C00024560 | Kopsia teoi
C00024561 | Kopsia teoi
C00024562 | Kopsia teoi
C00024563 | Kopsia teoi
C00024564 | Kopsia hainanensis
C00024565 | Kopsia lapidilecta
C00024566 | Kopsia lapidilecta
C00024567 | Kopsia griffithii
C00024568 | Kopsia dasyrachis
C00024568 | Kopsia griffithii
C00024572 | Kopsia tenuis
C00024573 | Kopsia tenuis
C00024574 | Kopsia tenuis
C00024578 | Kopsia teoi
C00024579 | Kopsia teoi
C00024580 | Kopsia arborea
C00024580 | Kopsia dasyrachis
C00024580 | Kopsia officinalis
C00024581 | Kopsia dasyrachis
C00024581 | Kopsia officinalis
C00024588 | Kopsia pauciflora
C00024589 | Kopsia dasyrachis
C00024589 | Kopsia pauciflora
C00024590 | Kopsia pauciflora
C00024591 | Kopsia pauciflora
C00024593 | Kopsia dasyrachis
C00024593 | Kopsia griffithii
C00024593 | Kopsia officinalis
C00024595 | Kopsia teoi
C00024597 | Kopsia singapurensis
C00024598 | Kopsia singapurensis
C00024599 | Kopsia singapurensis
C00024600 | Kopsia singapurensis
C00025050 | Kopsia dasyrachis
C00025050 | Kopsia macrophylla
C00025061 | Kopsia hainanensis
C00025062 | Kopsia dasyrachis
C00025063 | Kopsia hainanensis
C00025063 | Kopsia macrophylla
C00025063 | Kopsia officinalis
C00025064 | Kopsia dasyrachis
C00025064 | Kopsia pauciflora
C00025071 | Kopsia officinalis
C00025079 | Kopsia officinalis
C00025152 | Kopsia macrophylla Hook.f.
C00025152 | Kopsia teoi
C00025167 | Kopsia jasminiflora Pitard
C00025168 | Kopsia fruticosa
C00025168 | Kopsia jasminiflora Pitard
C00025214 | Kopsia dasyrachis
C00025214 | Kopsia griffithii
C00025859 | Kopsia macrophylla Hook.f.
C00026013 | Kopsia dasyrachis
C00026013 | Kopsia fruticosa
C00026055 | Kopsia macrophylla Hook.f.
C00026538 | Kopsia griffithii
C00026581 | Kopsia arborea
C00026581 | Kopsia fruticosa
C00026581 | Kopsia singapurensis
C00026618 | Kopsia tenuis
C00026619 | Kopsia tenuis
C00026620 | Kopsia tenuis
C00027619 | Kopsia pauciflora
C00027628 | Kopsia dasyrachis
C00027628 | Kopsia griffithii
C00027628 | Kopsia pauciflora
C00027675 | Kopsia griffithii
C00027675 | Kopsia pauciflora
C00027696 | Kopsia deverrei
C00027696 | Kopsia griffithii
C00028132 | Kopsia macrophylla Hook.f.
C00028132 | Kopsia teoi
C00028696 | Kopsia dasyrachis
C00028696 | Kopsia griffithii
C00028696 | Kopsia pauciflora
C00034056 | Kopsia arborea
C00034057 | Kopsia arborea
C00034057 | Kopsia flavida
C00034178 | Kopsia arborea
C00034179 | Kopsia arborea
C00038053 | Kopsia dasyrachis
C00038124 | Kopsia dasyrachis
C00038127 | Kopsia dasyrachis
C00038149 | Kopsia dasyrachis
C00038149 | Kopsia griffithii
C00038171 | Kopsia singapurensis
C00038181 | Kopsia arborea
C00038182 | Kopsia arborea
C00038487 | Kopsia arborea
C00038488 | Kopsia arborea
C00038489 | Kopsia arborea
C00038490 | Kopsia arborea
C00038491 | Kopsia arborea
C00038522 | Kopsia singapurensis
C00038925 | Kopsia dasyrachis
C00038949 | Kopsia dasyrachis
C00038954 | Kopsia dasyrachis
C00039559 | Kopsia dasyrachis
C00039568 | Kopsia arborea
C00039569 | Kopsia arborea
C00039570 | Kopsia dasyrachis
C00039571 | Kopsia dasyrachis
C00039571 | Kopsia longiflora
C00039572 | Kopsia dasyrachis
C00039573 | Kopsia singapurensis
C00039574 | Kopsia singapurensis
C00039575 | Kopsia singapurensis
C00039576 | Kopsia singapurensis
C00039577 | Kopsia singapurensis
C00039578 | Kopsia singapurensis
C00039579 | Kopsia singapurensis
C00039580 | Kopsia singapurensis
C00039581 | Kopsia singapurensis
C00039582 | Kopsia singapurensis
C00039583 | Kopsia singapurensis
C00039584 | Kopsia singapurensis
C00039585 | Kopsia singapurensis
C00039586 | Kopsia singapurensis
C00039587 | Kopsia dasyrachis
C00039588 | Kopsia dasyrachis
C00039588 | Kopsia fruticosa
C00039589 | Kopsia singapurensis
C00039590 | Kopsia arborea
C00039591 | Kopsia arborea
C00039592 | Kopsia singapurensis
C00039831 | Kopsia dasyrachis
C00039934 | Kopsia arborea
C00039953 | Kopsia arborea
C00040153 | Kopsia arborea
C00040153 | Kopsia dasyrachis
C00040153 | Kopsia singapurensis
C00040617 | Kopsia arborea
C00040636 | Kopsia singapurensis
C00040772 | Kopsia griffithii
C00040867 | Kopsia griffithii
C00047261 | Kopsia arborea
C00047262 | Kopsia arborea
C00047263 | Kopsia arborea
C00047264 | Kopsia arborea
C00050289 | Kopsia pauciflora
C00050290 | Kopsia pauciflora
C00050291 | Kopsia pauciflora
C00050292 | Kopsia pauciflora
C00050293 | Kopsia pauciflora
C00050294 | Kopsia pauciflora
C00051151 | Kopsia fruticosa
C00051152 | Kopsia fruticosa
C00051153 | Kopsia fruticosa
C00051154 | Kopsia fruticosa
C00051155 | Kopsia fruticosa
C00051156 | Kopsia fruticosa
C00051157 | Kopsia fruticosa
C00051320 | Kopsia fruticosa
C00004762 | Landolphia kirkii
C00001713 | Leuconotis griffithii
C00024511 | Leuconotis eugenifolius
C00024567 | Leuconotis eugenifolius
C00024567 | Leuconotis griffithii
C00024568 | Leuconotis eugenifolius
C00024595 | Leuconotis eugenifolius DC.
C00025051 | Leuconotis griffithii
C00025075 | Leuconotis griffithii
C00047959 | Leuconotis sp.
C00047960 | Leuconotis sp.
C00047961 | Leuconotis sp.
C00047962 | Leuconotis sp.
C00047963 | Leuconotis sp.
C00047964 | Leuconotis sp.
C00047965 | Leuconotis sp.
C00001679 | Melodinus balansae
C00001679 | Melodinus balansae var.paucivenosus
C00001681 | Melodinus spp.
C00001784 | Melodinus fusiformis
C00002591 | Melodinus morsei
C00007204 | Melodinus morsei
C00022413 | Melodinus monogynus
C00022414 | Melodinus monogynus
C00024454 | Melodinus fusiformis
C00024454 | Melodinus guillauminii
C00024454 | Melodinus morsei
C00024454 | Melodinus reticulatus
C00024457 | Melodinus aeneus
C00024457 | Melodinus scandens
C00024458 | Melodinus aeneus
C00024458 | Melodinus henryi
C00024458 | Melodinus suaveolens
C00024458 | Melodinus tenuicaudatus
C00024461 | Melodinus balansae var.paucivenosus
C00024461 | Melodinus celastroides
C00024461 | Melodinus guillauminii
C00024461 | Melodinus hemsleyanus
C00024461 | Melodinus insulae-pinorum
C00024461 | Melodinus phylliraeoides
C00024461 | Melodinus polyadenus
C00024461 | Melodinus reticulatus
C00024461 | Melodinus scandens
C00024462 | Melodinus balansae var.paucivenosus
C00024462 | Melodinus celastroides
C00024462 | Melodinus fusiformis
C00024462 | Melodinus guillauminii
C00024462 | Melodinus hemsleyanus
C00024462 | Melodinus insulae-pinorum
C00024462 | Melodinus phylliraeoides
C00024462 | Melodinus polyadenus
C00024462 | Melodinus reticulatus
C00024462 | Melodinus scandens
C00024463 | Melodinus morsei
C00024463 | Melodinus scandens
C00024463 | Melodinus suaveolens
C00024464 | Melodinus morsei
C00024471 | Melodinus celastroides
C00024473 | Melodinus fusiformis
C00024473 | Melodinus hemsleyanus
C00024473 | Melodinus henryi
C00024473 | Melodinus scandens
C00024473 | Melodinus tenuicaudatus
C00024475 | Melodinus fusiformis
C00024475 | Melodinus hemsleyanus
C00024475 | Melodinus tenuicaudatus
C00024478 | Melodinus fusiformis
C00024478 | Melodinus hemsleyanus
C00024478 | Melodinus suaveolens
C00024479 | Melodinus fusiformis
C00024479 | Melodinus hemsleyanus
C00024480 | Melodinus fusiformis
C00024480 | Melodinus guillauminii
C00024480 | Melodinus hemsleyanus
C00024480 | Melodinus morsei
C00024480 | Melodinus suaveolens
C00024480 | Melodinus tenuicaudatus
C00024481 | Melodinus aeneus
C00024481 | Melodinus fusiformis
C00024481 | Melodinus guillauminii
C00024481 | Melodinus hemsleyanus
C00024481 | Melodinus henryi
C00024481 | Melodinus polyadenus
C00024481 | Melodinus reticulatus
C00024481 | Melodinus suaveolens
C00024481 | Melodinus tenuicaudatus
C00024482 | Melodinus suaveolens
C00024489 | Melodinus hemsleyanus
C00024493 | Melodinus insulae-pinorum
C00024494 | Melodinus insulae-pinorum Boiteau.
C00024494 | Melodinus reticulatus
C00024495 | Melodinus guillauminii
C00024495 | Melodinus insulae-pinorum
C00024495 | Melodinus reticulatus
C00024497 | Melodinus morsei
C00024497 | Melodinus phylliraeoides
C00024497 | Melodinus tenuicaudatus
C00024498 | Melodinus celastroides
C00024498 | Melodinus morsei
C00024498 | Melodinus phylliraeoides
C00024499 | Melodinus suaveolens
C00024501 | Melodinus celastroides
C00024501 | Melodinus scandens
C00024501 | Melodinus suaveolens
C00024502 | Melodinus scandens
C00024503 | Melodinus scandens
C00024505 | Melodinus celastroides
C00024507 | Melodinus guillauminii
C00024508 | Melodinus scandens
C00024509 | Melodinus reticulatus
C00024522 | Melodinus celastroides
C00024524 | Melodinus suaveolens
C00024575 | Melodinus celastroides
C00024576 | Melodinus hemsleyanus
C00024576 | Melodinus scandens
C00024577 | Melodinus hemsleyanus
C00024577 | Melodinus scandens
C00024594 | Melodinus morsei
C00024596 | Melodinus fusiformis
C00024604 | Melodinus suaveolens
C00024612 | Melodinus morsei
C00024612 | Melodinus suaveolens
C00024614 | Melodinus morsei
C00024614 | Melodinus phylliraeoides
C00024614 | Melodinus tenuicaudatus
C00024615 | Melodinus celastroides
C00024615 | Melodinus hemsleyanus
C00024615 | Melodinus morsei
C00024615 | Melodinus phylliraeoides
C00024615 | Melodinus suaveolens
C00024615 | Melodinus tenuicaudatus
C00025059 | Melodinus aeneus
C00025059 | Melodinus scandens
C00025068 | Melodinus tenuicaudatus
C00025076 | Melodinus aeneus
C00025080 | Melodinus insulae-pinorum
C00025081 | Melodinus balansae var.paucivenosus
C00025406 | Melodinus polyadenus
C00025410 | Melodinus polyadenus
C00025416 | Melodinus polyadenus
C00025912 | Melodinus insulae-pinorum Boiteau.
C00024483 | Microplumeria anomala
C00024513 | Microplumeria anomala
C00024530 | Microplumeria anomala
C00035228 | Mondia whitei
C00035374 | Mondia whitei
C00001127 | Nerium oleander
C00002499 | Nerium odorum
C00002500 | Nerium odorum
C00003558 | Nerium oleander
C00003600 | Nerium oleander
C00003741 | Nerium oleander
C00004565 | Nerium oleander
C00005413 | Nerium oleander
C00019064 | Nerium oleander
C00029633 | Nerium oleander
C00032467 | Nerium oleander
C00038702 | Nerium oleander
C00038703 | Nerium oleander
C00038704 | Nerium oleander
C00038705 | Nerium oleander
C00039845 | Nerium odorum Sol.
C00039845 | Nerium oleander
C00039846 | Nerium odorum Sol.
C00039846 | Nerium oleander
C00040605 | Nerium oleander
C00041257 | Nerium oleander
C00042003 | Nerium oleander
C00042084 | Nerium oleander
C00042119 | Nerium oleander
C00042120 | Nerium oleander
C00046784 | Nerium oleander
C00049578 | Nerium oleander
C00001689 | Ochrosia elliptica Labill.
C00001689 | Ochrosia moorei
C00001716 | Ochrosia acuminata
C00001716 | Ochrosia elliptica
C00001716 | Ochrosia moorei
C00001754 | Ochrosia confusa
C00001754 | Ochrosia lifuana
C00001754 | Ochrosia miana
C00024281 | Ochrosia acuminata
C00025183 | Ochrosia acuminata
C00025207 | Ochrosia acuminata
C00025207 | Ochrosia poweri Bailey.
C00025214 | Ochrosia elliptica Labill.
C00025960 | Ochrosia elliptica Labill.
C00026013 | Ochrosia elliptica Labill.
C00026014 | Ochrosia poweri Bail.
C00026015 | Ochrosia poweri Bail.
C00026662 | Ochrosia acuminata
C00032210 | Ochrosia acuminata
C00038341 | Ochrosia acuminata
C00038341 | Ochrosia moorei
C00038996 | Ochrosia moorei
C00039892 | Ochrosia moorei
C00039893 | Ochrosia moorei
C00040643 | Ochrosia acuminata
C00002934 | Parameria laevigata MOLDENKE
C00009276 | Parameria laevigata MOLDENKE
C00009291 | Parameria laevigata MOLDENKE
C00009293 | Parameria laevigata MOLDENKE
C00013285 | Parameria laevigata Moldenke
C00033288 | Parameria laevigata MOLDENKE
C00044764 | Parepigynum funingense
C00044765 | Parepigynum funingense
C00044766 | Parepigynum funingense
C00044767 | Parepigynum funingense
C00000602 | Parsonsia laevigata
C00000604 | Parsonsia laevigata
C00002099 | Parsonsia eucalyptophylla
C00002099 | Parsonsia straminea
C00002104 | Parsonsia heterophylla
C00002104 | Parsonsia spiralis
C00012693 | Parsonsia heterophylla
C00051748 | Parsonsia alboflavescens
C00047605 | Pentalinon andrieuxii
C00002471 | Periploca graeca
C00002743 | Periploca graeca
C00003672 | Periploca aphylla
C00003749 | Periploca aphylla
C00012015 | Periploca laevigata
C00029487 | Periploca aphylla
C00032213 | Periploca nigrescens
C00032214 | Periploca nigrescens
C00032536 | Periploca sepium
C00034103 | Periploca forrestii Schltr.
C00034103 | Periploca sepium Bge.
C00034104 | Periploca forrestii Schltr.
C00034104 | Periploca sepium Bge.
C00034105 | Periploca forrestii Schltr.
C00034105 | Periploca sepium Bge.
C00034106 | Periploca forrestii Schltr.
C00034106 | Periploca sepium Bge.
C00034107 | Periploca forrestii Schltr.
C00034107 | Periploca sepium Bge.
C00034108 | Periploca forrestii Schltr.
C00034108 | Periploca sepium Bge.
C00034109 | Periploca forrestii Schltr.
C00034109 | Periploca graeca
C00034109 | Periploca sepium Bge.
C00034110 | Periploca forrestii Schltr.
C00034110 | Periploca sepium Bge.
C00034111 | Periploca forrestii Schltr.
C00034111 | Periploca sepium Bge.
C00034112 | Periploca forrestii Schltr.
C00034112 | Periploca sepium Bge.
C00034113 | Periploca forrestii Schltr.
C00034113 | Periploca sepium Bge.
C00034114 | Periploca forrestii Schltr.
C00034114 | Periploca sepium Bge.
C00034115 | Periploca forrestii Schltr.
C00034115 | Periploca sepium Bge.
C00034116 | Periploca forrestii Schltr.
C00034116 | Periploca sepium Bge.
C00034117 | Periploca forrestii Schltr.
C00034117 | Periploca sepium
C00034117 | Periploca sepium Bge.
C00034118 | Periploca forrestii Schltr.
C00034118 | Periploca sepium Bge.
C00034119 | Periploca forrestii Schltr.
C00034119 | Periploca sepium Bge.
C00034120 | Periploca forrestii Schltr.
C00034120 | Periploca sepium Bge.
C00039845 | Periploca sepium
C00050720 | Periploca sepium
C00051308 | Periploca calophylla
C00024457 | Petchia ceylanica
C00024500 | Petchia ceylanica
C00024592 | Petchia ceylanica
C00001680 | Picralima klaineana
C00001681 | Picralima klaineana
C00001681 | Picralima klaineanas
C00001682 | Picralima klaineana
C00001682 | Picralima klaineanas
C00025152 | Picralima klaineanas
C00048064 | Picralima klaineanas
C00049103 | Picralima klaineanas
C00001713 | Pleiocarpa pycnantha
C00001761 | Pleiocarpa tubicina
C00024454 | Pleiocarpa mutica
C00024454 | Pleiocarpa picnantha var.tubicina
C00024454 | Pleiocarpa tubicina
C00024558 | Pleiocarpa mutica Benth.
C00024564 | Pleiocarpa mutica Benth.
C00024564 | Pleiocarpa tubicina
C00024593 | Pleiocarpa mutica Benth.
C00024608 | Pleiocarpa tubicina
C00025052 | Pleiocarpa mutica
C00025061 | Pleiocarpa mutica
C00025216 | Pleiocarpa tubicina
C00025719 | Pleiocarpa talbotii
C00026013 | Pleiocarpa mutica Benth.
C00026670 | Pleiocarpa talbotii
C00002631 | Plumeria rubra
C00003080 | Plumeria acutifolia
C00003087 | Plumeria bicolor
C00003087 | Plumeria rubra
C00003087 | Plumeria spp.
C00003095 | Plumeria bicolor
C00003095 | Plumeria multiflora
C00003095 | Plumeria rubra
C00003096 | Plumeria acutifolia
C00003096 | Plumeria rubra
C00003096 | Plumeria spp.
C00003738 | Plumeria obtusa
C00003741 | Plumeria obtusa
C00008863 | Plumeria rubra
C00010737 | Plumeria rubra
C00019064 | Plumeria obtusa L.
C00029633 | Plumeria obtusa
C00029665 | Plumeria obtusa L.
C00040723 | Plumeria obtusa
C00001407 | Prestonia amazonica
C00000218 | Rauvolfia canescens
C00000219 | Rauvolfia canescens
C00000258 | Rauvolfia vomitoria
C00001678 | Rauvolfia serpentina
C00001678 | Rauvolfia yunnanensis
C00001679 | Rauvolfia balansae ssp.balansae
C00001679 | Rauvolfia balansae ssp.schumanniana
C00001679 | Rauvolfia balansaevar.basicola
C00001679 | Rauvolfia biauriculata
C00001679 | Rauvolfia boliviana
C00001679 | Rauvolfia caffra
C00001679 | Rauvolfia cambodiana
C00001679 | Rauvolfia canescens
C00001679 | Rauvolfia chinensis
C00001679 | Rauvolfia confertiflora
C00001679 | Rauvolfia cubana
C00001679 | Rauvolfia cumminsii
C00001679 | Rauvolfia degeneri
C00001679 | Rauvolfia densiflora
C00001679 | Rauvolfia fruticosa
C00001679 | Rauvolfia heterophylla
C00001679 | Rauvolfia indecora
C00001679 | Rauvolfia ligustrina
C00001679 | Rauvolfia littoralis
C00001679 | Rauvolfia macrophylla
C00001679 | Rauvolfia mombasiana
C00001679 | Rauvolfia nitida
C00001679 | Rauvolfia obscura
C00001679 | Rauvolfia oreogiton
C00001679 | Rauvolfia perakensis
C00001679 | Rauvolfia sellowii
C00001679 | Rauvolfia serpentina
C00001679 | Rauvolfia sevenetii
C00001679 | Rauvolfia spathulata
C00001679 | Rauvolfia suaveolens
C00001679 | Rauvolfia tetraphylla
C00001679 | Rauvolfia verticillata
C00001679 | Rauvolfia verticillata var.hainanensis
C00001679 | Rauvolfia verticillata var.rubrocarpa
C00001679 | Rauvolfia viridis
C00001679 | Rauvolfia volkensii
C00001679 | Rauvolfia vomitoria
C00001679 | Rauvolfia yunnanensis
C00001683 | Rauvolfia hirsuta
C00001683 | Rauvolfia obscura
C00001683 | Rauvolfia vomitoria
C00001690 | Rauvolfia canescens
C00001712 | Rauvolfia canescens
C00001712 | Rauvolfia cubana
C00001712 | Rauvolfia littoralis
C00001762 | Rauvolfia macrophylla
C00001762 | Rauvolfia nitida
C00001762 | Rauvolfia serpentina
C00001762 | Rauvolfia vomitoria
C00001763 | Rauvolfia latifrons
C00001763 | Rauvolfia perakensis
C00001763 | Rauvolfia serpentina
C00001763 | Rauvolfia serpentine
C00001763 | Rauvolfia verticillata
C00001763 | Rauvolfia vomitoria
C00001763 | Rauvolfia yunnanensis
C00001767 | Rauvolfia caffra
C00001767 | Rauvolfia cumminsii
C00001767 | Rauvolfia perakensis
C00001767 | Rauvolfia serpentina
C00001767 | Rauvolfia srpentina
C00001767 | Rauvolfia vomitoria
C00001769 | Rauvolfia beddomei
C00001769 | Rauvolfia fruticosa
C00001769 | Rauvolfia serpentina
C00001789 | Rauvolfia nitida
C00001789 | Rauvolfia serpentina
C00001789 | Rauvolfia vomitoria
C00001789 | Rauvolfia yunnanensis
C00001899 | Rauvolfia serpentina
C00005226 | Rauvolfia verticillata
C00024275 | Rauvolfia mauiensis
C00024275 | Rauvolfia media
C00024275 | Rauvolfia semperflorens var.semperflorens
C00024276 | Rauvolfia cumminsii
C00024276 | Rauvolfia vomitoria
C00024277 | Rauvolfia coffra
C00024277 | Rauvolfia macrophylla
C00024277 | Rauvolfia nitida
C00024277 | Rauvolfia obscura
C00024277 | Rauvolfia suaveolens
C00024277 | Rauvolfia vomitoria
