C00002399 | Abrotanella spp.
C00029674 | Artemisia capillaris
C00029679 | Artemisia annua
C00029817 | Artemisia annua L.cultivar Jwarharti
C00029818 | Artemisia annua L.cultivar Jwarharti
C00029909 | Artemisia princeps PAMPANINI (Sajabalssuk)
C00029910 | Artemisia princeps PAMPANINI (Sajabalssuk)
C00029912 | Artemisia annua
C00029913 | Artemisia annua
C00029916 | Artemisia annua
C00029916 | Artemisia annua L.cultivar Jwarharti
C00029917 | Artemisia annua L.cultivar Jwarharti
C00029918 | Artemisia annua L.cultivar Jwarharti
C00029972 | Artemisia annua
C00029974 | Artemisia annua
C00030130 | Artemisia annua
C00030165 | Artemisia annua
C00030220 | Artemisia annua
C00030221 | Artemisia minor
C00030246 | Artemisia annua L.cultivar Jwarharti
C00030470 | Artemisia annua
C00030472 | Artemisia annua L.cultivar Jwarharti
C00030481 | Artemisia annua
C00030482 | Artemisia annua
C00030519 | Artemisia annua L.cultivar Jwarharti
C00030527 | Artemisia annua
C00030527 | Artemisia keiskeana
C00030527 | Artemisia minor
C00030541 | Artemisia annua L.cultivar Jwarharti
C00030755 | Artemisia annua L.cultivar Jwarharti
C00030759 | Artemisia annua L.cultivar Jwarharti
C00030767 | Artemisia annua L.cultivar Jwarharti
C00030827 | Artemisia annua L.cultivar Jwarharti
C00030877 | Artemisia annua L.cultivar Jwarharti
C00030879 | Artemisia annua
C00030880 | Artemisia annua
C00030958 | Artemisia annua
C00031344 | Artemisia xerophytica
C00031471 | Artemisia annua L.cultivar Jwarharti
C00031605 | Artemisia minor
C00032307 | Artemisia annua
C00032374 | Artemisia annua
C00032374 | Artemisia annua L.cultivar Jwarharti
C00032409 | Artemisia annua
C00033548 | Artemisia gorgonum
C00034418 | Artemisia absinthium
C00034419 | Artemisia annua
C00034575 | Artemisia tridentata spp.spiciformis
C00035029 | Artemisia suksdorfii
C00035030 | Artemisia suksdorfii
C00035190 | Artemisia monosperma
C00036034 | Artemisia annua L.
C00036452 | Artemisia tridentata spp.vaseyana
C00036497 | Artemisia cana ssp.viscidula
C00036497 | Artemisia tridentata spp.vaseyana
C00036709 | Artemisia vulgaris
C00036768 | Artemisia cana ssp.viscidula
C00036768 | Artemisia vulgaris
C00036900 | Artemisia cana ssp.viscidula
C00037033 | Artemisia annua
C00037054 | Artemisia annua
C00037436 | Artemisia carruthii
C00037546 | Artemisia dracunculus
C00037547 | Artemisia dracunculus
C00039452 | Artemisia scoparia
C00042149 | Artemisia campestris ssp.maritima
C00042153 | Artemisia campestris ssp.maritima
C00043129 | Artemisia dracunculus
C00043132 | Artemisia dracunculus
C00043133 | Artemisia dracunculus
C00043224 | Artemisia dracunculus
C00043284 | Artemisia dracunculus
C00043285 | Artemisia dracunculus
C00043350 | Artemisia dracunculus
C00043462 | Artemisia dracunculus
C00043860 | Artemisia monosperma
C00044095 | Artemisia annua
C00044150 | Artemisia annua
C00045293 | Artemisia absinthium
C00045665 | Artemisia keiskeana
C00045666 | Artemisia keiskeana
C00045667 | Artemisia keiskeana
C00045668 | Artemisia keiskeana
C00046654 | Artemisia caruifolia
C00046655 | Artemisia caruifolia
C00046656 | Artemisia caruifolia
C00046784 | Artemisia californica
C00046784 | Artemisia tridentata
C00047390 | Artemisia minor
C00047391 | Artemisia minor
C00047392 | Artemisia minor
C00047393 | Artemisia minor
C00047402 | Artemisia minor
C00047445 | Artemisia minor
C00047500 | Artemisia minor
C00047546 | Artemisia minor
C00048117 | Artemisia anomala
C00049125 | Artemisia capillaris
C00049126 | Artemisia capillaris
C00049127 | Artemisia capillaris
C00049128 | Artemisia capillaris
C00049129 | Artemisia capillaris
C00049130 | Artemisia capillaris
C00049131 | Artemisia capillaris
C00049132 | Artemisia capillaris
C00050637 | Artemisia pectinifera
C00050670 | Artemisia cana ssp.viscidula
C00050670 | Artemisia tridentata ssp.vaseyana
C00050679 | Artemisia mongolica
C00050744 | Artemisia dracunculus
C00050744 | Artemisia vulgaris
C00050863 | Artemisia annua
C00050867 | Artemisia capillaris
C00050879 | Artemisia annua
C00050879 | Artemisia vulgaris
C00050980 | Artemisia argyi
C00050994 | Artemisia rupestris
C00050996 | Artemisia maritima
C00051189 | Artemisia lactiflora
C00051590 | Artemisia mongolica
C00051638 | Artemisia roxbugiana
C00051643 | Artemisia argyi
C00051643 | Artemisia sylvatica
C00051644 | Artemisia argyi
C00005372 | Asanthus thyrsiflora
C00005374 | Asanthus thyrsiflora
C00005491 | Asanthus solidaginifolia
C00001295 | Aspilia spp.
C00012954 | Aspilia pluriseta
C00012955 | Aspilia pluriseta
C00013993 | Aspilia africana
C00000615 | Aster salignus
C00001287 | Aster sibiricus
C00001287 | Aster spinosus
C00001460 | Aster ptarmicoides
C00002374 | Aster spp.
C00002713 | Aster tataricus
C00002724 | Aster salignus
C00003673 | Aster scaber
C00005374 | Aster tataricus
C00010293 | Aster Bakeranus
C00012775 | Aster umbellatus
C00012887 | Aster japonica
C00012887 | Aster umbellatus
C00012888 | Aster umbellatus
C00012890 | Aster umbellatus
C00012891 | Aster umbellatus
C00012921 | Aster umbellatus
C00020003 | Aster praealtus
C00020004 | Aster praealtus
C00020005 | Aster praealtus
C00020006 | Aster praealtus
C00022715 | Aster spathulifolius
C00023323 | Aster spathulifolius
C00029508 | Aster scaber
C00029999 | Aster tataricus
C00030807 | Aster salignus
C00038377 | Aster ageratoides Turez var. ovatus Nakai
C00038378 | Aster ageratoides Turez var. ovatus Nakai
C00038379 | Aster ageratoides Turez var. ovatus Nakai
C00038380 | Aster ageratoides Turez var. ovatus Nakai
C00038381 | Aster ageratoides Turez var. ovatus Nakai
C00038382 | Aster ageratoides Turez var. ovatus Nakai
C00038383 | Aster ageratoides Turez var. ovatus Nakai
C00038384 | Aster ageratoides Turez var. ovatus Nakai
C00038527 | Aster tataricus
C00038528 | Aster tataricus
C00040238 | Aster scaber
C00040239 | Aster scaber
C00040240 | Aster scaber
C00040241 | Aster scaber
C00040242 | Aster scaber
C00040243 | Aster scaber
C00040244 | Aster scaber
C00040245 | Aster scaber
C00040246 | Aster scaber
C00040247 | Aster scaber
C00040248 | Aster scaber
C00040249 | Aster scaber
C00040250 | Aster scaber
C00040251 | Aster scaber
C00042658 | Aster spathulifolius
C00042701 | Aster lingulatus
C00050270 | Aster lingulatus
C00050271 | Aster lingulatus
C00051187 | Aster tataricus
C00004640 | Asteriscus graveolens
C00004684 | Asteriscus sericeus
C00004693 | Asteriscus graveolens
C00004693 | Asteriscus sericeus
C00004694 | Asteriscus sericeus
C00005149 | Asteriscus graveolens
C00005595 | Asteriscus graveolens
C00011472 | Asteriscus sericeus
C00011473 | Asteriscus sericeus
C00011676 | Asteriscus graveolens
C00012439 | Asteriscus aquaticus
C00012439 | Asteriscus graveolens
C00012439 | Asteriscus vogelii
C00012440 | Asteriscus aquaticus
C00012440 | Asteriscus graveolens
C00012441 | Asteriscus aquaticus
C00012441 | Asteriscus graveolens
C00012441 | Asteriscus vogelii
C00012442 | Asteriscus aquaticus
C00012442 | Asteriscus graveolens
C00012442 | Asteriscus vogelii
C00021437 | Asteriscus graveolens
C00021438 | Asteriscus aquaticus
C00021439 | Asteriscus graveolens
C00021967 | Asteriscus aquaticus
C00011438 | Athanasia crithmifolia
C00011478 | Athanasia spp.
C00011479 | Athanasia spp.
C00011480 | Athanasia spp.
C00011483 | Athanasia spp.
C00012961 | Athanasia dregeana
C00016981 | Athanasia thodei
C00020382 | Athanasia dregeana
C00020486 | Athanasia montana
C00020487 | Athanasia montana
C00020585 | Athanasia dregeana
C00020816 | Athanasia spp.
C00020861 | Athanasia montana
C00020862 | Athanasia montana
C00020863 | Athanasia montana
C00020864 | Athanasia montana
C00020865 | Athanasia montana
C00023374 | Athrixia elata
C00000163 | Atractylis ovata
C00000164 | Atractylis ovata
C00003405 | Atractylis gummifera
C00006185 | Atractylis gummifera
C00012937 | Atractylis ovata
C00000010 | Atractylodes lancea
C00003186 | Atractylodes chinensis
C00003186 | Atractylodes lancea
C00003719 | Atractylodes chinensis
C00007444 | Atractylodes lancea
C00012762 | Atractylodes japonica
C00012889 | Atractylodes japonica
C00012937 | Atractylodes japonica
C00019674 | Atractylodes lancea
C00029818 | Atractylodes lancea
C00031363 | Atractylodes japonica
C00031459 | Atractylodes japonica
C00031459 | Atractylodes lancea
C00031609 | Atractylodes lancea
C00031610 | Atractylodes lancea
C00031611 | Atractylodes lancea
C00031612 | Atractylodes lancea
C00031877 | Atractylodes japonica
C00031877 | Atractylodes lancea
C00032763 | Atractylodes macrocephala
C00038054 | Atractylodes macrocephala
C00002399 | Austrobrickellia spp.
C00002427 | Austrobrickellia patens
C00022239 | Austrobrickellia patens
C00022286 | Austrobrickellia patens
C00022729 | Austrobrickellia patens
C00022316 | Austroeupatorium chaparense
C00022317 | Austroeupatorium chaparense
C00022318 | Austroeupatorium inulaefolium
C00022318 | Austroeupatorium inulifolium
C00022328 | Austroeupatorium chaparense
C00022329 | Austroeupatorium chaparense
C00022518 | Austroeupatorium chaparense
C00022748 | Austroeupatorium inulaefolium
C00023393 | Austroeupatorium inulifolium
C00023394 | Austroeupatorium inulifolium
C00011631 | Ayapana amygdalina
C00021851 | Ayapana amygdalina
C00021852 | Ayapana amygdalina
C00022256 | Ayapana amygdalina
C00022434 | Ayapana amygdalina
C00022435 | Ayapana amygdalina
C00022436 | Ayapana amygdalina
C00022437 | Ayapana amygdalina
C00022515 | Ayapana amygdalina
C00022516 | Ayapana amygdalina
C00022742 | Ayapana amygdalina
C00023292 | Ayapana amygdalina
C00023293 | Ayapana amygdalina
C00023404 | Ayapana amygdalina
C00023405 | Ayapana amygdalina
C00000149 | Baccharis dracunculifolia
C00000149 | Baccharis gaudichaudiana
C00000155 | Baccharis dracunculifolia
C00000156 | Baccharis dracunculifolia
C00000970 | Baccharis magellanica
C00000982 | Baccharis spp.
C00000991 | Baccharis bigelovii
C00000991 | Baccharis oxydonta
C00000999 | Baccharis spp.
C00001016 | Baccharis crispa
C00001016 | Baccharis rhomboidalis
C00001016 | Baccharis trinervis
C00001050 | Baccharis gaudichaudiana DC
C00001051 | Baccharis spp.
C00001060 | Baccharis pilularis
C00001060 | Baccharis viminea
C00001075 | Baccharis grisebachii
C00001287 | Baccharis spp.
C00002412 | Baccharis spp.
C00002499 | Baccharis magellanica
C00002632 | Baccharis dracunculifolia DC.
C00002666 | Baccharis rosmarinifolia
C00003755 | Baccharis spp.
C00003794 | Baccharis viminea
C00003795 | Baccharis viminea
C00003817 | Baccharis gaudichaudiana
C00003837 | Baccharis eleagnoides
C00003839 | Baccharis tucumanensis
C00003845 | Baccharis gaudichaudiana
C00003845 | Baccharis gaudichaudiana DC
C00003848 | Baccharis pilularis
C00003868 | Baccharis crispa
C00003868 | Baccharis trinervis
C00003870 | Baccharis trinervis
C00003879 | Baccharis patens
C00003883 | Baccharis grisebachii
C00003885 | Baccharis gaudichaudiana DC
C00003890 | Baccharis gaudichaudiana DC
C00003891 | Baccharis gaudichaudiana
C00003894 | Baccharis trimera
C00003932 | Baccharis quitensis
C00003933 | Baccharis patens
C00003933 | Baccharis spp.
C00003984 | Baccharis bigelovii
C00004533 | Baccharis viminea
C00004536 | Baccharis viminea
C00004543 | Baccharis bigelovii
C00004567 | Baccharis pilularis
C00004573 | Baccharis pilularis
C00004593 | Baccharis vaccinioides
C00004599 | Baccharis pilularis
C00004599 | Baccharis vaccinioides
C00004603 | Baccharis pedunculata
C00004603 | Baccharis trinervis
C00004606 | Baccharis pilularis
C00004611 | Baccharis pilularis
C00004615 | Baccharis sarothroides
C00004634 | Baccharis pilularis
C00004635 | Baccharis viminea
C00004638 | Baccharis pilularis
C00004640 | Baccharis sarothroides
C00004644 | Baccharis salicifolia
C00004668 | Baccharis sarothroides
C00004670 | Baccharis sarothroides
C00004694 | Baccharis salicina
C00004694 | Baccharis sarothroides
C00004709 | Baccharis salicina
C00004794 | Baccharis solieri
C00004799 | Baccharis incanum
C00004799 | Baccharis incarum
C00005413 | Baccharis gaudichaudiana DC
C00005447 | Baccharis thesioides
C00006381 | Baccharis gaudichaudiana DC
C00006997 | Baccharis salicifolia
C00008227 | Baccharis alaternoides
C00008407 | Baccharis bigelovii
C00008552 | Baccharis bigelovii
C00008731 | Baccharis trinervis
C00008732 | Baccharis glutinosa
C00008738 | Baccharis varians
C00008743 | Baccharis varians
C00008745 | Baccharis salicifolia
C00010977 | Baccharis dracunculifolia
C00010977 | Baccharis genistelloides
C00011709 | Baccharis scandens
C00011714 | Baccharis latifolia
C00012009 | Baccharis salicifolia
C00012483 | Baccharis dracunculifolia
C00012492 | Baccharis gaudichaudiana
C00012582 | Baccharis megapotamica
C00012583 | Baccharis megapotamica
C00012584 | Baccharis megapotamica
C00012585 | Baccharis megapotamica
C00012586 | Baccharis megapotamica
C00012587 | Baccharis megapotamica
C00012588 | Baccharis megapotamica
C00012589 | Baccharis megapotamica
C00012590 | Baccharis megapotamica
C00012591 | Baccharis megapotamica
C00012592 | Baccharis megapotamica
C00012593 | Baccharis megapotamica
C00012594 | Baccharis megapotamica
C00012595 | Baccharis megapotamica
C00012596 | Baccharis megapotamica
C00012597 | Baccharis megapotamica
C00012605 | Baccharis cordifolia
C00012606 | Baccharis cordifolia
C00012607 | Baccharis cordifolia
C00012616 | Baccharis megapotamica
C00012617 | Baccharis megapotamica
C00012618 | Baccharis megapotamica
C00012828 | Baccharis latifolia
C00019064 | Baccharis heterophylla
C00019064 | Baccharis salicina
C00019064 | Baccharis sarothroides
C00019064 | Baccharis vaccinoides
C00019525 | Baccharis heterophylla
C00019525 | Baccharis myrsinites
C00019525 | Baccharis salicina
C00019525 | Baccharis vaccinoides
C00020159 | Baccharis ulicina
C00020163 | Baccharis salicifolia
C00020164 | Baccharis salicifolia
C00020590 | Baccharis salicina
C00020696 | Baccharis salicina
C00021212 | Baccharis genistelloides
C00022049 | Baccharis pteronioides
C00022122 | Baccharis thesioides
C00022123 | Baccharis thesioides
C00022236 | Baccharis boliviensis
C00022237 | Baccharis boliviensis
C00022238 | Baccharis boliviensis
C00022295 | Baccharis scoparia
C00022311 | Baccharis salicifolia
C00022381 | Baccharis tola
C00022427 | Baccharis eggersii
C00022428 | Baccharis eggersii
C00022441 | Baccharis tucumanensis
C00022447 | Baccharis sternbergiana
C00022448 | Baccharis sternbergiana
C00022449 | Baccharis sternbergiana
C00022469 | Baccharis incarum
C00022735 | Baccharis potosina
C00022776 | Baccharis paniculata
C00022777 | Baccharis boliviensis
C00022778 | Baccharis boliviensis
C00022779 | Baccharis boliviensis
C00022780 | Baccharis boliviensis
C00022781 | Baccharis boliviensis
C00022782 | Baccharis boliviensis
C00022783 | Baccharis boliviensis
C00022784 | Baccharis boliviensis
C00022785 | Baccharis boliviensis
C00022786 | Baccharis boliviensis
C00022787 | Baccharis boliviensis
C00022788 | Baccharis boliviensis
C00022789 | Baccharis boliviensis
C00022790 | Baccharis boliviensis
C00022791 | Baccharis boliviensis
C00022792 | Baccharis boliviensis
C00022793 | Baccharis boliviensis
C00022793 | Baccharis dracunculifolia
C00022793 | Baccharis sternbergiana
C00022794 | Baccharis boliviensis
C00022794 | Baccharis dracunculifolia
C00022794 | Baccharis latifolia
C00022795 | Baccharis trimera
C00022796 | Baccharis sternbergiana
C00022797 | Baccharis sternbergiana
C00022798 | Baccharis latifolia
C00022799 | Baccharis latifolia
C00022800 | Baccharis latifolia
C00023192 | Baccharis pingraea
C00023192 | Baccharis salicifolia
C00023193 | Baccharis pingraea
C00023193 | Baccharis salicifolia
C00023194 | Baccharis pingraea
C00023194 | Baccharis salicifolia
C00023195 | Baccharis pingraea
C00023196 | Baccharis pingraea
C00023197 | Baccharis pingraea
C00023198 | Baccharis salicifolia
C00023199 | Baccharis pingraea
C00023200 | Baccharis salicifolia
C00023201 | Baccharis salicifolia
C00023202 | Baccharis salicifolia
C00023203 | Baccharis salicifolia
C00023204 | Baccharis salicifolia
C00023205 | Baccharis rhetinodes
C00023327 | Baccharis petiolata
C00023336 | Baccharis salicifolia
C00023337 | Baccharis salicifolia
C00023441 | Baccharis polifolia
C00023442 | Baccharis polifolia
C00023469 | Baccharis artemisioides
C00023483 | Baccharis incarum
C00023488 | Baccharis pedicellata
C00023506 | Baccharis patagonica
C00023546 | Baccharis scoparia
C00029400 | Baccharis gaudichaudiana
C00029468 | Baccharis indica
C00029475 | Baccharis dracunculifolia
C00029481 | Baccharis gaudichaudiana DC
C00029535 | Baccharis dracunculifolia
C00029766 | Baccharis dracunculifolia
C00029831 | Baccharis dracunculifolia
C00030361 | Baccharis gaudichaudiana
C00030934 | Baccharis dracunculifolia
C00031031 | Baccharis dracunculifolia DC.
C00031616 | Baccharis gaudichaudiana DC
C00032914 | Baccharis dracunculifolia DC.
C00032915 | Baccharis dracunculifolia DC.
C00032916 | Baccharis dracunculifolia DC.
C00032917 | Baccharis dracunculifolia DC.
C00032918 | Baccharis dracunculifolia DC.
C00032919 | Baccharis dracunculifolia DC.
C00032920 | Baccharis dracunculifolia DC.
C00032921 | Baccharis dracunculifolia DC.
C00032922 | Baccharis dracunculifolia DC.
C00032923 | Baccharis dracunculifolia DC.
C00032924 | Baccharis dracunculifolia DC.
C00032925 | Baccharis dracunculifolia DC.
C00032926 | Baccharis dracunculifolia DC.
C00032927 | Baccharis dracunculifolia DC.
C00032928 | Baccharis dracunculifolia DC.
C00032929 | Baccharis dracunculifolia DC.
C00032930 | Baccharis dracunculifolia DC.
C00042176 | Baccharis gaudichaudiana
C00042454 | Baccharis gaudichaudiana
C00042545 | Baccharis gaudichaudiana
C00046784 | Baccharis texana
C00049927 | Baccharis crispa
C00050008 | Baccharis crispa
C00002411 | Bahianthus viscidus
C00003224 | Baileya multiradiata
C00003224 | Baileya pleniradiata
C00003284 | Baileya multiradiata
C00003285 | Baileya multiradiata
C00003335 | Baileya multiradiata
C00003336 | Baileya multiradiata
C00003337 | Baileya multiradiata
C00003346 | Baileya pauciradiata
C00003346 | Baileya pleniradiata
C00003351 | Baileya multiradiata Harb.et Gray.
C00003351 | Baileya pleniradiata
C00003352 | Baileya pleniradiata
C00003360 | Baileya multiradiata
C00003360 | Baileya pleniradiata
C00004656 | Baileya multiradiata
C00021061 | Baileya multiradiata
C00003211 | Balduina angustifolia
C00003298 | Balduina spp.
C00021120 | Balduina angustifolia
C00021120 | Balduina uniflora
C00004594 | Balsamorhiza deltoidea
C00004594 | Balsamorhiza sagittata
C00004600 | Balsamorhiza spp.
C00004636 | Balsamorhiza macrophylla
C00004640 | Balsamorhiza deltoidea
C00004640 | Balsamorhiza macrophylla
C00004644 | Balsamorhiza deltoidea
C00004667 | Balsamorhiza hookeri
C00004681 | Balsamorhiza deltoidea
C00004689 | Balsamorhiza sagittata
C00020879 | Balsamorhiza sagittata
C00022100 | Balsamorhiza sagittata
C00029409 | Balsamorhiza sagittata
C00003254 | Baltimora recta
C00012932 | Baltimora recta
C00012933 | Baltimora recta
C00002759 | Bedfordia salicina
C00020937 | Bedfordia arborescens
C00020938 | Bedfordia arborescens
C00020985 | Bedfordia arborescens
C00023494 | Bedfordia salicina
C00023497 | Bedfordia salicina
C00011416 | Bejaranoa semistriata
C00022106 | Bejaranoa semistriata
C00001017 | Bellis perennis
C00001287 | Bellis perennis
C00003559 | Bellis perennis
C00003817 | Bellis perennis
C00004144 | Bellis perennis
C00004146 | Bellis perennis
C00004173 | Bellis perennis
C00005413 | Bellis perennis
C00005525 | Bellis perennis
C00005538 | Bellis perennis
C00005548 | Bellis perennis
C00006662 | Bellis perennis
C00006796 | Bellis perennis
C00006810 | Bellis perennis
C00006811 | Bellis perennis
C00029346 | Bellis perennis
C00029759 | Bellis perennis
C00029803 | Bellis perennis
C00029804 | Bellis perennis
C00029805 | Bellis perennis
C00029806 | Bellis perennis
C00029807 | Bellis perennis
C00029808 | Bellis perennis
C00029813 | Bellis perennis
C00030961 | Bellis perennis
C00030962 | Bellis perennis
C00030963 | Bellis perennis
C00030964 | Bellis perennis
C00030965 | Bellis perennis
C00039944 | Bellis perennis
C00039945 | Bellis perennis
C00039946 | Bellis perennis
C00039947 | Bellis perennis
C00039948 | Bellis perennis
C00039949 | Bellis perennis
C00039950 | Bellis perennis
C00003341 | Berkheya speciosa
C00003362 | Berkheya speciosa
C00021828 | Berkheya radula
C00021829 | Berkheya spp.
C00020588 | Berlandiera subacaulis
C00020589 | Berlandiera subacaulis
C00020878 | Berlandiera betonicifolia
C00020878 | Berlandiera pumila
C00000674 | Bidens tripartita
C00001290 | Bidens spp.
C00001292 | Bidens bipinnata
C00002471 | Bidens tripartita
C00003817 | Bidens tripartita
C00004054 | Bidens pilosa
C00005374 | Bidens tripartita
C00005492 | Bidens leucantha
C00006929 | Bidens tripartita
C00006941 | Bidens spp.
C00006969 | Bidens frondosa
C00006969 | Bidens sp.
C00006971 | Bidens torta
C00007218 | Bidens spp.
C00007892 | Bidens pilosa
C00007893 | Bidens pilosa
C00007894 | Bidens pilosa
C00007895 | Bidens pilosa
C00007896 | Bidens pilosa
C00007897 | Bidens pilosa
C00007899 | Bidens pilosa
C00007900 | Bidens pilosa
C00007901 | Bidens pilosa
C00007903 | Bidens pilosa
C00007904 | Bidens pilosa
C00007906 | Bidens campylotheca
C00007906 | Bidens torta
C00007907 | Bidens campylotheca
C00007907 | Bidens torta
C00007908 | Bidens campylotheca
C00007910 | Bidens torta
C00007911 | Bidens torta
C00008026 | Bidens spp.
C00008029 | Bidens carpodonta
C00008029 | Bidens ferulifolia
C00008029 | Bidens frondosa
C00008029 | Bidens longistyla
C00008043 | Bidens spp.
C00008050 | Bidens carpodonta
C00008050 | Bidens ferulifolia
C00008050 | Bidens longistyla
C00008050 | Bidens pilosa
C00008051 | Bidens pilosa
C00008052 | Bidens pilosa
C00008053 | Bidens pilosa
C00008054 | Bidens pilosa
C00008055 | Bidens pilosa
C00008279 | Bidens sp.
C00008282 | Bidens spp.
C00010339 | Bidens graveolens
C00011685 | Bidens andicola
C00011687 | Bidens spp.
C00013849 | Bidens andicola
C00013861 | Bidens andicola
C00013930 | Bidens pilosa
C00013933 | Bidens leucantha
C00013933 | Bidens pilosa var. radiata
C00014341 | Bidens pilosa
C00014500 | Bidens leucantha
C00014501 | Bidens andicola
C00014509 | Bidens pilosa var. radiata
C00014510 | Bidens frondosa
C00014511 | Bidens frondosa
C00014512 | Bidens frondosa
C00014513 | Bidens frondosa
C00014633 | Bidens bipinnata
C00014666 | Bidens bipinnata
C00014667 | Bidens pilosa var. radiata
C00029826 | Bidens parviflora WILLD.
C00029827 | Bidens parviflora WILLD.
C00031630 | Bidens bipinnata LINNE
C00031631 | Bidens bipinnata LINNE
C00032764 | Bidens parviflora WILLD.
C00032767 | Bidens parviflora WILLD.
C00020431 | Bishopanthus soliceps
C00020432 | Bishopanthus soliceps
C00020857 | Bishopanthus soliceps
C00020918 | Bishopanthus soliceps
C00020919 | Bishopanthus soliceps
C00022730 | Bishovia boliviensis
C00012259 | Blainvillea latifolia
C00012470 | Blainvillea acmella
C00020565 | Blainvillea latifolia
C00022341 | Blepharizonia plumosa
C00023325 | Blepharizonia plumosa
C00000674 | Blumea balsamifera
C00001076 | Blumea glomerata
C00002668 | Blumea balsamifera
C00002710 | Blumea balsamifera
C00003045 | Blumea lacera
C00004607 | Blumea malcomii
C00004628 | Blumea balsamifera
C00004631 | Blumea balsamifera
C00004634 | Blumea balsamifera
C00004636 | Blumea balsamifera
C00004692 | Blumea malcomii
C00004704 | Blumea malcomii
C00004712 | Blumea eriantha
C00004712 | Blumea malcomii
C00008572 | Blumea balsamifera
C00008573 | Blumea balsamifera
C00008580 | Blumea balsamifera
C00008581 | Blumea balsamifera
C00008582 | Blumea balsamifera
C00010818 | Blumea wightiana
C00010901 | Blumea eriantha
C00010901 | Blumea malcolmii
C00010944 | Blumea spp
C00011024 | Blumea balsamifera
C00012083 | Blumea balsamifera
C00012084 | Blumea balsamifera
C00012085 | Blumea balsamifera
C00013341 | Blumea glomerata
C00013595 | Blumea lacera
C00017299 | Blumea spp.
C00021317 | Blumea gariepina
C00050760 | Blumea glomerata
C00000575 | Brachyclados megalanthus
C00002477 | Brachyclados megalanthus
C00022697 | Brachyclados megalanthus
C00022698 | Brachyclados megalanthus
C00022699 | Brachyclados megalanthus
C00022700 | Brachyclados megalanthus
C00022701 | Brachyclados megalanthus
C00022702 | Brachyclados megalanthus
C00022703 | Brachyclados megalanthus
C00022704 | Brachyclados megalanthus
C00022705 | Brachyclados megalanthus
C00002119 | Brachyglottis repanda
C00004615 | Brachyglottis cassinioides
C00003341 | Brachylaena discolor
C00003341 | Brachylaena elliptica
C00003341 | Brachylaena neriifolia
C00003387 | Brachylaena neriifolia
C00003749 | Brachylaena ramiflora var. ramiflora
C00013050 | Brachylaena transvaalensis
C00013051 | Brachylaena transvaalensis
C00020727 | Brachylaena neriifolia
C00020999 | Brachylaena transvaalensis
C00021685 | Brachylaena neriifolia
C00021686 | Brachylaena neriifolia
C00021687 | Brachylaena neriifolia
C00022654 | Brachylaena ramiflora var. ramiflora
C00045220 | Brachylaena ramiflora var. ramiflora
C00045240 | Brachylaena ramiflora var. ramiflora
C00045332 | Brachylaena ramiflora var. ramiflora
C00003867 | Bracteantha viscosa
C00003879 | Bracteantha viscosa
C00003961 | Bracteantha viscosa
C00000968 | Brickellia vernicosa
C00001036 | Brickellia laciniata
C00001096 | Brickellia eupatorioides
C00002412 | Brickellia spp.
C00003837 | Brickellia californica
C00003883 | Brickellia squarrosa
C00003885 | Brickellia dentata
C00003894 | Brickellia baccharidea
C00003898 | Brickellia scoparia
C00004596 | Brickellia eupatorioides
C00004596 | Brickellia scoparia
C00004599 | Brickellia longifolia
C00004603 | Brickellia eupatorioides
C00004603 | Brickellia pendula
C00004607 | Brickellia eupatorioides
C00004640 | Brickellia arguta
C00004653 | Brickellia eupatorioides
C00004688 | Brickellia glutinosa
C00004689 | Brickellia californica
C00004690 | Brickellia laciniata
C00004692 | Brickellia eupatorioides
C00004697 | Brickellia chlorolepis
C00004697 | Brickellia veronicifolia
C00004698 | Brickellia baccharidea
C00004699 | Brickellia microphylla
C00004705 | Brickellia spp.
C00004706 | Brickellia spp.
C00004707 | Brickellia cylindracea
C00004712 | Brickellia spp.
C00004818 | Brickellia glutinosa
C00004954 | Brickellia longifolia
C00004978 | Brickellia californica
C00004981 | Brickellia veronicifolia
C00004983 | Brickellia glutinosa
C00004984 | Brickellia veronicifolia
C00004985 | Brickellia californica
C00005316 | Brickellia scoparia
C00005321 | Brickellia arguta
C00005325 | Brickellia dentata
C00005325 | Brickellia monocephala
C00005326 | Brickellia scoparia
C00005327 | Brickellia vernicosa
C00005332 | Brickellia pendula
C00005524 | Brickellia chlorolepis
C00005525 | Brickellia arguta
C00005638 | Brickellia arguta
C00005638 | Brickellia cylindracea
C00005639 | Brickellia vernicosa
C00005640 | Brickellia vernicosa
C00005645 | Brickellia arguta
C00005645 | Brickellia cylindracea
C00005655 | Brickellia glutinosa
C00005663 | Brickellia spp.
C00005664 | Brickellia dentata
C00005665 | Brickellia vernicosa
C00005675 | Brickellia glutinosBrickellia glutinosa
C00006067 | Brickellia longifolia
C00008299 | Brickellia spp.
C00011417 | Brickellia guatemaliensis
C00011418 | Brickellia diffusa
C00011418 | Brickellia veronicifolia
C00011420 | Brickellia laciniata
C00022220 | Brickellia diffusa
C00022485 | Brickellia eupatorioides
C00023294 | Brickellia laciniata
C00023295 | Brickellia veronicaefolia
C00023303 | Brickellia glomerata
C00023327 | Brickellia veronicaefolia
C00004572 | Brickelliastrum fendleri
C00013942 | Buphthalmum salicifolium
C00013946 | Buphthalmum salicifolium
C00029298 | Buphthalmum salicifolium
C00038116 | Buphthalmum salicifolium
C00001016 | Calea ternifolia
C00002427 | Calea serrata
